JUDUL,PENULIS,RATING_AVG,TOTAL_RATINGS,TOTAL_REVIEWS,GENRES,PENERBIT,TAHUN_TERBIT,NAMA_FILE_GAMBAR,warna_h,warna_s,warna_v,warna_r,warna_g,warna_b,warna_kategori,warna_hex_dominan,POPULARITY_SCORE
The Naked Traveler 2,Trinity,3.84,2337.0,182.0,"Perjalanan, Nonfiksi, Sastra Indonesia, Petualangan, Catatan Perjalanan, Biografi, Kisah Nyata, Indonesian Literature",B First,2010,2010_B_First_The_Naked_Traveler_2.jpg,,,,,,,,,3.880681354052775
The Naked Traveler,Trinity,3.82,4330.0,469.0,"Perjalanan, Nonfiksi, Sastra Indonesia, Petualangan, Kisah Nyata, Catatan Perjalanan, Komedi, Indonesian Literature",C Publishing,2007,2007_C_Publishing_The_Naked_Traveler.jpg,,,,,,,,,3.880131097588647
Surga Sungsang: Buku Cerita,Triyanto Triwikromo,3.82,129.0,30.0,"Novel, Sastra Indonesia, Fiksi, Sastra, Indonesian Literature",Gramedia Pustaka Utama,2014,2014_Gramedia_Pustaka_Uta_Surga_Sungsang_Buku_Cerita.jpg,,,,,,,,,3.862160058261496
Sengsara Membawa Nikmat,Tulis Sutan Sati,3.68,748.0,62.0,"Sastra Indonesia, Novel, Fiksi, Sastra, Klasik, Roman, Drama, Indonesian Literature",Balai Pustaka,2004,2004_Balai_Pustaka_Sengsara_Membawa_Nikmat.jpg,,,,,,,,,3.736040920094356
Sugih Tanpa Banda,Umar Kayam,4.32,160.0,9.0,"Sastra Indonesia, Esai, Fiksi, Indonesian Literature",Pustaka Utama Grafiti,2005,2005_Pustaka_Utama_Grafit_Sugih_Tanpa_Banda.jpg,,,,,,,,,4.037325418737609
Seribu Kunang-kunang di Manhattan,Umar Kayam,3.88,1255.0,129.0,"Sastra Indonesia, Fiksi, Cerita Pendek, Novel, Sastra, Klasik, Indonesian Literature",Grafiti,2007,2007_Grafiti_Seribu_Kunang-kunang_di_Manhat.jpg,,,,,,,,,3.880959325987496
Satrio Piningit ing Kampung Pingit,Umar Kayam,4.03,148.0,11.0,"Sastra Indonesia, Fiksi, Indonesian Literature",Pustaka Utama Grafiti,2000,2000_Pustaka_Utama_Grafit_Satrio_Piningit_ing_Kampung_Pi.jpg,,,,,,,,,3.93140867779959
Madhep Ngalor Sugih Madhep Ngidul Sugih,Umar Kayam,4.19,161.0,8.0,"Sastra Indonesia, Indonesian Literature",Grafiti Pers,2005,2005_Grafiti_Pers_Madhep_Ngalor_Sugih_Madhep_Ngi.jpg,,,,,,,,,3.9914679497343046
"Lebaran di Karet, di Karet...: Kumpulan Cerpen Umar Kayam",Umar Kayam,3.75,189.0,12.0,"Sastra Indonesia, Cerita Pendek, Fiksi, Indonesian Literature",Buku Kompas,2002,"2002_Buku_Kompas_Lebaran_di_Karet,_di_Karet..._.jpg",,,,,,,,,3.829207411119437
Di Bawah Langit Tak Berbintang,Utuy Tatang Sontani,3.8,66.0,11.0,"Sastra Indonesia, Indonesian Literature",Pustaka Jaya,2001,2001_Pustaka_Jaya_Di_Bawah_Langit_Tak_Berbintang.jpg,,,,,,,,,3.865921025666068
Serangkai,Valerie Patkar,4.42,2008.0,468.0,"Roman, Fiksi, Novel, Keluarga, Drama, Sastra Indonesia, Kesehatan Mental, Indonesian Literature",Bhuana Ilmu Populer,2021,2021_Bhuana_Ilmu_Populer_Serangkai.jpg,,,,,,,,,3.884664186670801
Logika Asa,Valerie Patkar,4.18,353.0,92.0,"Roman, Fiksi, Indonesian Literature",Bhuana Sastra,2024,2024_Bhuana_Sastra_Logika_Asa.jpg,,,,,,,,,4.045322607034443
Claires,Valerie Patkar,3.91,1159.0,175.0,"Roman, Fiksi, Remaja, Sastra Indonesia, Cinta, Indonesian Literature",Bhuana Ilmu Populer,2018,2018_Bhuana_Ilmu_Populer_Claires.jpg,,,,,,,,,3.8810626851606234
Tukar Takdir,Valiant Budi,3.91,554.0,207.0,"Cerita Pendek, Fiksi, Antologi, Sastra Indonesia, Thriller, Drama, Dewasa, Indonesian Literature",Gramedia Pustaka Utama,2019,2019_Gramedia_Pustaka_Uta_Tukar_Takdir.jpg,,,,,,,,,3.900039661272304
Nggak Usah Jaim Deh!,Valleria Verawati,3.28,546.0,37.0,"Sastra Indonesia, Roman, Novel, Fiksi, Remaja, SMA, Indonesian Literature",PT Gramedia Pustaka Utama,2005,2005_PT_Gramedia_Pustaka__Nggak_Usah_Jaim_Deh!.jpg,,,,,,,,,3.4881154676658133
Pemetik Bintang,Venerdi Handoyo,3.66,474.0,127.0,"Fiksi, Novel, Sastra Indonesia, Indonesian Literature",Gramedia Pustaka Utama,2019,2019_Gramedia_Pustaka_Uta_Pemetik_Bintang.jpg,,,,,,,,,3.743738544864554
A Tale from Bali,Vicki Baum,3.89,345.0,45.0,"Fiksi, Asia, Fiksi Historis, Historis, Klasik, Jerman, Sastra, Indonesian Literature",Periplus Editions,2000,2000_Periplus_Editions_A_Tale_from_Bali.jpg,,,,,,,,,3.8858785090545855
Suicide Knot,Vie Asano,3.47,245.0,86.0,"Thriller, Misteri, Fiksi, Misteri Thriller, Indonesian Literature",Noura Books,2019,2019_Noura_Books_Suicide_Knot.jpg,,,,,,,,,3.692500597787311
The Jakarta Method: Washington's Anticommunist Crusade and the Mass Murder Program that Shaped Our World,Vincent Bevins,4.61,18124.0,2.0,"Sejarah, Nonfiksi, Politik, Asia, Buku Audio, Sejarah Amerika, Perang, Indonesian Literature",PublicAffairs,2020,2020_PublicAffairs_The_Jakarta_Method_Washington'.jpg,,,,,,,,,3.92367272373595
I Hate Rich Men,Virginia Novita,3.88,1751.0,163.0,"Roman, Sastra Indonesia, Fiksi, Novel, Chick Lit, Remaja, Contemporary, Indonesian Literature",Gramedia Pustaka Utama,2011,2011_Gramedia_Pustaka_Uta_I_Hate_Rich_Men.jpg,,,,,,,,,3.880959325987496
Perawan Desa,W.R. Supratman,3.75,36.0,14.0,Indonesian Literature,bukuKatta,2022,2022_bukuKatta_Perawan_Desa.jpg,,,,,,,,,3.8664671617766966
Stanza dan Blues,W.S. Rendra,3.97,145.0,24.0,"Puisi, Sastra Indonesia, Indonesian Literature",Bentang Pustaka,2010,2010_Bentang_Pustaka_Stanza_dan_Blues.jpg,,,,,,,,,3.910693020996824
Puisi-Puisi Cinta,W.S. Rendra,3.76,428.0,83.0,"Puisi, Sastra Indonesia, Indonesian Literature",Bentang Pustaka,2015,2015_Bentang_Pustaka_Puisi-Puisi_Cinta.jpg,,,,,,,,,3.808781379390548
Pacar Seorang Seniman,W.S. Rendra,3.75,130.0,23.0,"Sastra Indonesia, Fiksi, Cerita Pendek, Indonesian Literature",Bentang Pustaka,2016,2016_Bentang_Pustaka_Pacar_Seorang_Seniman.jpg,,,,,,,,,3.8403540712411943
Membela Masa Depan: Kumpulan Orasi,W.S. Rendra,3.75,4.0,1.0,"Sastra Indonesia, Indonesian Literature",Burungmerak Press,2008,2008_Burungmerak_Press_Membela_Masa_Depan_Kumpulan_Or.jpg,,,,,,,,,3.8791762808793546
Kenang-kenangan Seorang Wanita Pemalu: Kumpulan Cerita Pendek 1954-1961,W.S. Rendra,3.91,99.0,16.0,"Sastra Indonesia, Indonesian Literature",Burungmerak Press,2007,2007_Burungmerak_Press_Kenang-kenangan_Seorang_Wanita.jpg,,,,,,,,,3.888366888262384
Ia Sudah Bertualang: Kumpulan Cerita Pendek 1954-1957,W.S. Rendra,3.63,38.0,3.0,"Sastra Indonesia, Indonesian Literature",Burungmerak Press,2007,2007_Burungmerak_Press_Ia_Sudah_Bertualang_Kumpulan_C.jpg,,,,,,,,,3.851821067587076
Empat Kumpulan Sajak,W.S. Rendra,3.81,129.0,16.0,"Puisi, Sastra Indonesia, Sastra, Indonesian Literature",Dunia Pustaka Jaya,2003,2003_Dunia_Pustaka_Jaya_Empat_Kumpulan_Sajak.jpg,,,,,,,,,3.859075778524496
Doa untuk Anak Cucu,W.S. Rendra,4.03,321.0,49.0,"Puisi, Sastra Indonesia, Fiksi, Sastra, Indonesian Literature",Bentang Pustaka,2013,2013_Bentang_Pustaka_Doa_untuk_Anak_Cucu.jpg,,,,,,,,,3.959358368484836
Negeri van Oranje,Wahyuningrat,3.87,3545.0,405.0,"Fiksi, Novel, Sastra Indonesia, Perjalanan, Roman, Petualangan, Komedi, Indonesian Literature",Bentang Pustaka,2009,2009_Bentang_Pustaka_Negeri_van_Oranje.jpg,,,,,,,,,3.880850109043185
Kuntowijoyo: Karya dan Dunianya,Wan Anwar,3.14,14.0,1.0,"Sastra Indonesia, Biografi, Sastra, Indonesian Literature",PT Grasindo,2007,2007_PT_Grasindo_Kuntowijoyo_Karya_dan_Dunianya.jpg,,,,,,,,,3.846754969061404
Seratus Tahun Kebisuan,Wawan Kurniawan,4.11,9.0,5.0,Indonesian Literature,Diva Press,2025,2025_Diva_Press_Seratus_Tahun_Kebisuan.jpg,,,,,,,,,3.8878740800263896
Nyanyian Akar Rumput: Kumpulan Lengkap Puisi,Wiji Thukul,4.22,724.0,143.0,"Puisi, Sastra Indonesia, Sejarah, Indonesian Literature",Gramedia Pustaka Utama,2014,2014_Gramedia_Pustaka_Uta_Nyanyian_Akar_Rumput_Kumpulan_.jpg,,,,,,,,,4.123215834559952
Aku Ingin Jadi Peluru,Wiji Thukul,4.23,729.0,81.0,"Puisi, Sastra Indonesia, Sastra, Indonesian Literature",Indonesiatera,2004,2004_Indonesiatera_Aku_Ingin_Jadi_Peluru.jpg,,,,,,,,,4.130850424127543
The Winner Takes It All,William Win Yang,4.8,51.0,11.0,"Ekonomi, Sejarah, Indonesian Literature",Elex Media Komputindo,2021,2021_Elex_Media_Komputind_The_Winner_Takes_It_All.jpg,,,,,,,,,4.018716956261192
Taipan: Lahirnya Para Konglomerat Indonesia,William Win Yang,4.68,145.0,34.0,"Fiksi, Fiksi Historis, Sastra Indonesia, Bisnis, Novel, Indonesian Literature",Elex Media Komputindo,2019,2019_Elex_Media_Komputind_Taipan_Lahirnya_Para_Konglomer.jpg,,,,,,,,,4.147768438383122
Taipan: Di Bawah Bayang-Bayang Papi,William Win Yang,4.27,45.0,11.0,"Fiksi, Sastra Indonesia, Indonesian Literature",PT Elex Media Komputindo,2020,2020_PT_Elex_Media_Komput_Taipan_Di_Bawah_Bayang-Bayang_.jpg,,,,,,,,,3.933338651811132
Let Go,Windhy Puspitadewi,3.91,3676.0,370.0,"Roman, Sastra Indonesia, Persahabatan, Novel, Fiksi, Remaja, Drama, Indonesian Literature",Gagas Media,2009,2009_Gagas_Media_Let_Go.jpg,,,,,,,,,3.8812607163999
Walking After You,Windry Ramadhina,3.98,953.0,215.0,"Roman, Sastra Indonesia, Fiksi, Novel, Keluarga, Drama, Cinta, Indonesian Literature",GagasMedia,2014,2014_GagasMedia_Walking_After_You.jpg,,,,,,,,,3.9569397821435865
London: Angel,Windry Ramadhina,3.82,1931.0,301.0,"Roman, Fiksi, Novel, Sastra Indonesia, Fantasi, London, Remaja, Indonesian Literature",Gagas Media,2013,2013_Gagas_Media_London_Angel.jpg,,,,,,,,,3.880752607641243
Last Forever,Windry Ramadhina,3.8,472.0,124.0,"Roman, Sastra Indonesia, Novel, Fiksi, Dewasa, Keluarga, Chick Lit, Indonesian Literature",Gagas Media,2015,2015_Gagas_Media_Last_Forever.jpg,,,,,,,,,3.830763145310832
Glaze: Galeri Patah Hati Kara & Kalle,Windry Ramadhina,3.75,195.0,72.0,"Roman, Sastra Indonesia, Fiksi, Indonesian Literature",Roro Raya Sejahtera,2017,2017_Roro_Raya_Sejahtera_Glaze_Galeri_Patah_Hati_Kara_&.jpg,,,,,,,,,3.828226007987343
Unforgettable,Winna Efendi,3.62,1448.0,193.0,"Roman, Sastra Indonesia, Fiksi, Novel, Remaja, Drama, Chick Lit, Indonesian Literature",Gagas Media,2012,2012_Gagas_Media_Unforgettable.jpg,,,,,,,,,3.880063546487065
Truth or Dare,Winna Efendi,3.69,1552.0,133.0,"Roman, Sastra Indonesia, Remaja, Persahabatan, Novel, Contemporary, Fiksi, Indonesian Literature",GagasMedia,2012,2012_GagasMedia_Truth_or_Dare.jpg,,,,,,,,,3.8803047178910273
Tomodachi,Winna Efendi,4.1,943.0,147.0,"Roman, Remaja, Persahabatan, Sastra Indonesia, Novel, Fiksi, Drama, Indonesian Literature",Gagas Media,2014,2014_Gagas_Media_Tomodachi.jpg,,,,,,,,,4.048584657632681
Some Kind of Wonderful,Winna Efendi,3.87,593.0,144.0,"Roman, Sastra Indonesia, Remaja, Fiksi, Keluarga, Chick Lit, Cinta, Indonesian Literature",Gramedia Pustaka Utama,2017,2017_Gramedia_Pustaka_Uta_Some_Kind_of_Wonderful.jpg,,,,,,,,,3.873594156268485
