JUDUL,PENULIS,RATING_AVG,TOTAL_RATINGS,TOTAL_REVIEWS,GENRES,PENERBIT,TAHUN_TERBIT,NAMA_FILE_GAMBAR,warna_h,warna_s,warna_v,warna_r,warna_g,warna_b,warna_kategori,warna_hex_dominan,POPULARITY_SCORE
Kisah Tanah Jawa,@kisahtanahjawa,4.11,642.0,96.0,"Horor, Nonfiksi, Sastra Indonesia, Misteri, Indonesian Literature",Gagas Media,2019,2019_Gagas_Media_Kisah_Tanah_Jawa.jpg,13.0,70.0,33.0,33.0,28.0,24.0,Merah,#211c18,4.038860074488989
A Man Called #AHOK: Sepenggal Kisah Perjuangan & Ketulusan,@kurawa,4.24,280.0,27.0,"Nonfiksi, Biografi, Sastra Indonesia, Indonesian Literature",@kurawa,2016,2016_@kurawa_A_Man_Called_#AHOK_Sepenggal_K.jpg,0.0,1.0,238.0,238.0,237.0,237.0,Abu-abu/Putih,#eeeded,4.057564241313783
Diary Cinta Muslimah: Mencintai Allah Menapaki Kemuliaan,@nashihatku,4.11,9.0,1.0,Indonesian Literature,Salam Books,2016,2016_Salam_Books_Diary_Cinta_Muslimah_Mencintai.jpg,0.0,103.0,235.0,235.0,141.0,140.0,Merah,#eb8d8c,3.8878740800263896
Dear Allah Terima Kasih Untukmu- Mensyukuri Nikmat Wujudkan Kebahagiaan,@nashihatku,4.17,6.0,1.0,Indonesian Literature,Salam Books,2017,2017_Salam_Books_Dear_Allah_Terima_Kasih_Untukm.jpg,90.0,1.0,252.0,251.0,252.0,252.0,Abu-abu/Putih,#fbfcfc,3.886836390746387
Berburu Surga Pake Iman Let's Go!,@nashihatku,4.75,4.0,0.0,Indonesian Literature,Salam Books,2016,2016_Salam_Books_Berburu_Surga_Pake_Iman_Let's_.jpg,28.0,213.0,250.0,250.0,233.0,41.0,Kuning,#fae929,3.892816519583532
"Sakinah, Mawadah, Rahmah",@Nasihatku,4.33,3.0,1.0,Indonesian Literature,Salam Books,2018,"2018_Salam_Books_Sakinah,_Mawadah,_Rahmah.jpg",0.0,0.0,250.0,250.0,250.0,250.0,Abu-abu/Putih,#fafafa,3.885572093645409
Halal Lifestyle,@Nasihatku,3.83,6.0,1.0,Indonesian Literature,Salam Books,2018,2018_Salam_Books_Halal_Lifestyle.jpg,45.0,2.0,249.0,248.0,249.0,247.0,Abu-abu/Putih,#f8f9f7,3.879926991931823
"Dear Allah, Baguskanlah Akhlakku",@Nasihatku,4.67,3.0,1.0,Indonesian Literature,Salam Books,2018,"2018_Salam_Books_Dear_Allah,_Baguskanlah_Akhlak.jpg",14.0,29.0,204.0,204.0,192.0,181.0,Abu-abu/Putih,#ccc0b5,3.889062256177488
Bukan Cinta Biasa,@Nasihatku,4.4,5.0,1.0,Indonesian Literature,Salam Books,2018,2018_Salam_Books_Bukan_Cinta_Biasa.jpg,101.0,252.0,201.0,2.0,130.0,201.0,Biru,#0282c9,3.889782308811794
How to Find True Love & Other Stories,A.S. Laksana,5.0,1.0,0.0,"Sastra Indonesia, Indonesian Literature",The Lontar Foundation,2015,2015_The_Lontar_Foundatio_How_to_Find_True_Love_&_Other_.jpg,88.0,100.0,202.0,123.0,202.0,197.0,Biru,#7bcac5,3.8848180684508895
Anak Gembala Yang Tertidur Panjang di Akhir Zaman,A.  Mustafa,4.07,268.0,74.0,"Novel, Sastra Indonesia, Contemporary, Fiksi, Indonesian Literature",Shira Media,2019,2019_Shira_Media_Anak_Gembala_Yang_Tertidur_Pan.jpg,22.0,135.0,250.0,250.0,214.0,118.0,Oranye/Cokelat,#fad676,3.971876975088149
Negeri Daging,A. Mustofa Bisri,3.77,106.0,13.0,"Fiksi, Sastra Indonesia, Puisi, Indonesian Literature",Bentang Pustaka,2002,2002_Bentang_Pustaka_Negeri_Daging.jpg,30.0,3.0,222.0,222.0,222.0,219.0,Abu-abu/Putih,#dededb,3.851204160323518
Konvensi: Kumpulan Cerpen,A. Mustofa Bisri,3.65,37.0,7.0,Indonesian Literature,DIVA Press,2018,2018_DIVA_Press_Konvensi_Kumpulan_Cerpen.jpg,109.0,156.0,126.0,49.0,76.0,126.0,Biru,#314c7e,3.854769178139067
Saraswati: Si Gadis Dalam Sunyi,A.A. Navis,3.79,115.0,25.0,"Sastra Indonesia, Novel, Roman, Indonesian Literature",Gramedia Pustaka Utama,2002,2002_Gramedia_Pustaka_Uta_Saraswati_Si_Gadis_Dalam_Sunyi.jpg,67.0,36.0,91.0,78.0,91.0,81.0,Abu-abu/Putih,#4e5b51,3.85508582403926
Robohnya Surau Kami,A.A. Navis,4.03,3466.0,330.0,"Sastra Indonesia, Fiksi, Cerita Pendek, Novel, Sastra, Klasik, Agama, Indonesian Literature",Gramedia Pustaka Utama,2007,2007_Gramedia_Pustaka_Uta_Robohnya_Surau_Kami.jpg,144.0,5.0,250.0,249.0,245.0,250.0,Abu-abu/Putih,#f9f5fa,3.882492538470045
Riwayat Negeri yang Haru: Cerpen KOMPAS Terpilih 1981-1990,A.A. Navis,3.91,91.0,13.0,"Sastra Indonesia, Cerita Pendek, Indonesian Literature",Penerbit Buku Kompas,2006,2006_Penerbit_Buku_Kompas_Riwayat_Negeri_yang_Haru_Cerpe.jpg,7.0,23.0,201.0,201.0,187.0,183.0,Abu-abu/Putih,#c9bbb7,3.8879117537616574
Kemarau,A.A. Navis,4.1,271.0,56.0,"Sastra Indonesia, Novel, Klasik, Fiksi, Indonesian Literature",Grasindo ,2003,2003_Grasindo_Kemarau.jpg,12.0,55.0,23.0,23.0,20.0,18.0,Hitam,#171412,3.986913778434397
Kabut Negeri si Dali: Kumpulan Cerita Pendek,A.A. Navis,3.75,124.0,27.0,"Sastra Indonesia, Cerita Pendek, Sastra, Fiksi, Indonesian Literature",Gramedia Widiasarana Indonesia,2001,2001_Gramedia_Widiasarana_Kabut_Negeri_si_Dali_Kumpulan_.jpg,97.0,203.0,185.0,38.0,149.0,185.0,Biru,#2695b9,3.8416659270849856
Bertanya Kerbau pada Pedati: Kumpulan Cerpen,A.A. Navis,3.79,247.0,24.0,"Cerita Pendek, Fiksi, Sastra Indonesia, Sastra, Indonesian Literature",PT Gramedia Pustaka Utama ,2001,2001_PT_Gramedia_Pustaka__Bertanya_Kerbau_pada_Pedati_Ku.jpg,75.0,3.0,173.0,171.0,173.0,172.0,Abu-abu/Putih,#abadac,3.839064698121904
Antologi Lengkap Cerpen A.A. Navis,A.A. Navis,4.29,120.0,15.0,"Sastra Indonesia, Sastra, Indonesian Literature",Buku Kompas,2004,2004_Buku_Kompas_Antologi_Lengkap_Cerpen_A.A._N.jpg,176.0,193.0,200.0,200.0,49.0,67.0,Merah,#c83143,4.000900291674699
Si Janggut Mengencingi Herucakra,A.S. Laksana,3.77,115.0,29.0,"Sastra Indonesia, Indonesian Literature",Marjin Kiri,2015,2015_Marjin_Kiri_Si_Janggut_Mengencingi_Herucak.jpg,2.0,180.0,163.0,163.0,57.0,48.0,Merah,#a33930,3.849396275492569
Bidadari yang Mengembara,A.S. Laksana,3.78,368.0,67.0,"Sastra Indonesia, Cerita Pendek, Fiksi, Fantasi, Indonesian Literature",KataKita,2004,2004_KataKita_Bidadari_yang_Mengembara.jpg,17.0,31.0,236.0,236.0,223.0,207.0,Abu-abu/Putih,#ecdfcf,3.824432779563136
Salah Asuhan,Abdoel Moeis,3.73,2078.0,167.0,"Sastra Indonesia, Fiksi, Novel, Klasik, Roman, Sastra, Drama, Indonesian Literature",Balai Pustaka,2000,2000_Balai_Pustaka_Salah_Asuhan.jpg,97.0,246.0,208.0,7.0,158.0,208.0,Biru,#079ed0,3.879925989245908
Pertemuan Jodoh,Abdoel Moeis,3.94,189.0,33.0,"Roman, Sastra Indonesia, Indonesian Literature",Balai Pustaka,2001,2001_Balai_Pustaka_Pertemuan_Jodoh.jpg,23.0,4.0,252.0,252.0,251.0,248.0,Abu-abu/Putih,#fcfbf8,3.904293663079709
Sastra Pencerahan,Abdul Wachid B.S,0.0,0.0,0.0,Indonesian Literature,BASABASI,2019,2019_BASABASI_Sastra_Pencerahan.jpg,23.0,254.0,254.0,254.0,195.0,1.0,Oranye/Cokelat,#fec301,3.8809626425855512
Laila Tak Pulang,Abi Ardianda,3.97,289.0,91.0,"Thriller, Misteri, Fiksi, Thriller Psikologis, Sastra Indonesia, Novel, Misteri Thriller, Indonesian Literature",Penerbit Baca,2023,2023_Penerbit_Baca_Laila_Tak_Pulang.jpg,6.0,71.0,18.0,18.0,14.0,13.0,Hitam,#120e0d,3.9254620741338018
Kelab dalam Swalayan,Abi Ardianda,4.19,826.0,291.0,"Thriller, Misteri, Fiksi, Misteri Thriller, Novel, Thriller Psikologis, Sastra Indonesia, Indonesian Literature",Penerbit Baca,2021,2021_Penerbit_Baca_Kelab_dalam_Swalayan.jpg,178.0,198.0,120.0,120.0,27.0,34.0,Merah,#781b22,4.109848414586748
Perempuan Berkalung Sorban,Abidah El Khalieqy,3.49,281.0,44.0,"Novel, Sastra Indonesia, Indonesian Literature",Yayasan Kesejahteraan Fatayah,2001,2001_Yayasan_Kesejahteraa_Perempuan_Berkalung_Sorban.jpg,4.0,212.0,196.0,196.0,54.0,33.0,Merah,#c43621,3.6883094158138894
Tulisan Pada Tembok: Antologi Sajak,Acep Zamzam Noor,4.03,30.0,8.0,"Sastra Indonesia, Indonesian Literature",Komodo Books,2011,2011_Komodo_Books_Tulisan_Pada_Tembok_Antologi_S.jpg,19.0,27.0,236.0,236.0,227.0,211.0,Abu-abu/Putih,#ece3d3,3.894967719241568
Membaca Lambang,Acep Zamzam Noor,3.48,48.0,16.0,"Sastra Indonesia, Puisi, Indonesian Literature",Gramedia Pustaka Utama,2018,2018_Gramedia_Pustaka_Uta_Membaca_Lambang.jpg,63.0,135.0,147.0,69.0,147.0,77.0,Hijau,#45934d,3.823894571883975
Jalan Menuju Rumahmu,Acep Zamzam Noor,3.76,70.0,11.0,"Sastra Indonesia, Indonesian Literature",Grasindo,2004,2004_Grasindo_Jalan_Menuju_Rumahmu.jpg,81.0,7.0,241.0,234.0,241.0,239.0,Abu-abu/Putih,#eaf1ef,3.857393025380294
Bagian dari Kegembiraan,Acep Zamzam Noor,4.61,18.0,2.0,"Sastra Indonesia, Indonesian Literature",Pustaka Azan,2013,2013_Pustaka_Azan_Bagian_dari_Kegembiraan.jpg,100.0,117.0,221.0,120.0,189.0,221.0,Biru,#78bddd,3.92367272373595
"Dengerin Dong, Troy!",Ade Kumalasari,3.27,413.0,31.0,"Roman, Sastra Indonesia, Novel, Fiksi, Persahabatan, Indonesian Literature",Gramedia Pustaka Utama,2006,"2006_Gramedia_Pustaka_Uta_Dengerin_Dong,_Troy!.jpg",23.0,189.0,253.0,253.0,208.0,65.0,Oranye/Cokelat,#fdd041,3.5216496181813746
The Name of the Game,Adelina Ayu,4.37,1094.0,305.0,"Roman, Remaja, Fiksi, Contemporary, Novel, Sastra Indonesia, Kehidupan Sehari-hari, Indonesian Literature",Bhuana Sastra,2019,2019_Bhuana_Sastra_The_Name_of_the_Game.jpg,15.0,204.0,253.0,253.0,151.0,51.0,Oranye/Cokelat,#fd9733,3.882647525815231
"Travelers' Tale, Belok Kanan: Barcelona!",Adhitya Mulya,3.75,3662.0,472.0,"Sastra Indonesia, Fiksi, Novel, Perjalanan, Roman, Petualangan, Komedi, Indonesian Literature",Gagas Media,2007,"2007_Gagas_Media_Travelers'_Tale,_Belok_Kanan_B.jpg",104.0,110.0,172.0,98.0,138.0,172.0,Biru,#628aac,3.8796182869730393
Sabtu Bersama Bapak,Adhitya Mulya,4.3,6132.0,1.0,"Fiksi, Novel, Keluarga, Sastra Indonesia, Roman, Pengasuhan, Drama, Indonesian Literature",GagasMedia,2014,2014_GagasMedia_Sabtu_Bersama_Bapak.jpg,60.0,1.0,226.0,225.0,226.0,225.0,Abu-abu/Putih,#e1e2e1,3.889478219704897
Jomblo: Sebuah Komedi Cinta,Adhitya Mulya,3.56,3815.0,357.0,"Sastra Indonesia, Novel, Fiksi, Komedi, Humor, Roman, Persahabatan, Indonesian Literature",Gagas Media,2005,2005_Gagas_Media_Jomblo_Sebuah_Komedi_Cinta.jpg,2.0,31.0,235.0,235.0,208.0,206.0,Abu-abu/Putih,#ebd0ce,3.877667902028642
Gege Mengejar Cinta,Adhitya Mulya,3.45,1507.0,218.0,"Sastra Indonesia, Novel, Komedi, Fiksi, Roman, Humor, Cinta, Indonesian Literature",Gagas Media,2005,2005_Gagas_Media_Gege_Mengejar_Cinta.jpg,16.0,225.0,246.0,246.0,148.0,29.0,Oranye/Cokelat,#f6941d,3.8794778445060154
To Heal is To Accept,Adi K.,3.93,192.0,45.0,"Puisi, Nonfiksi, Sastra Indonesia, Indonesian Literature",Elex Media Komputindo,2020,2020_Elex_Media_Komputind_To_Heal_is_To_Accept.jpg,0.0,0.0,254.0,254.0,254.0,254.0,Abu-abu/Putih,#fefefe,3.9005266376475234
A Poem With Your Name,Adi K.,3.55,484.0,63.0,"Puisi, Roman, Fiksi, Antologi, Indonesian Literature",Elex Media Komputindo,2018,2018_Elex_Media_Komputind_A_Poem_With_Your_Name.jpg,34.0,41.0,245.0,240.0,245.0,206.0,Abu-abu/Putih,#f0f5ce,3.673803355147586
Pelesir Mimpi,Adimas Immanuel,3.98,179.0,17.0,"Puisi, Sastra Indonesia, Indonesian Literature",Motion Publishing,2013,2013_Motion_Publishing_Pelesir_Mimpi.jpg,74.0,32.0,173.0,151.0,173.0,161.0,Abu-abu/Putih,#97ada1,3.91882209154911
Di Hadapan Rahasia,Adimas Immanuel,3.8,350.0,66.0,"Puisi, Sastra Indonesia, Fiksi, Indonesian Literature",Gramedia Pustaka Utama,2016,2016_Gramedia_Pustaka_Uta_Di_Hadapan_Rahasia.jpg,172.0,223.0,194.0,194.0,24.0,72.0,Merah,#c21848,3.8366342500866177
"#Ya Tuhan, monas, macet, doa.",Adityayoga,3.43,223.0,64.0,"Puisi, Humor, Komedi, Sastra Indonesia, Nonfiksi, Indonesian Literature",Gramedia Pustaka Utama,2016,"2016_Gramedia_Pustaka_Uta_#Ya_Tuhan,_monas,_macet,_doa..jpg",61.0,144.0,147.0,64.0,147.0,67.0,Hijau,#409343,3.6846431320017
Sadar Penuh Hadir Utuh,Adjie Silarus,3.95,164.0,25.0,"Nonfiksi, Indonesian Literature",Transmedia Pustaka,2015,2015_Transmedia_Pustaka_Sadar_Penuh_Hadir_Utuh.jpg,43.0,14.0,223.0,218.0,223.0,211.0,Abu-abu/Putih,#dadfd3,3.90594251377357
Museum Penghancur Dokumen,Afrizal Malna,3.91,65.0,12.0,"Puisi, Sastra Indonesia, Indonesian Literature",Garudhawaca,2013,2013_Garudhawaca_Museum_Penghancur_Dokumen.jpg,150.0,17.0,44.0,44.0,41.0,44.0,Abu-abu/Putih,#2c292c,3.886290598074441
Lubang dari Separuh Langit,Afrizal Malna,3.74,76.0,17.0,"Novel, Fiksi, Sastra Indonesia, Sastra, Indonesian Literature",INSISTPress dan AKY,2004,2004_INSISTPress_dan_AKY_Lubang_dari_Separuh_Langit.jpg,160.0,168.0,205.0,205.0,70.0,158.0,Ungu/Merah Muda,#cd469e,3.851631606756662
Kepada Apakah,Afrizal Malna,4.0,45.0,7.0,"Novel, Sastra Indonesia, Indonesian Literature",Motion Publishing,2014,2014_Motion_Publishing_Kepada_Apakah.jpg,102.0,55.0,23.0,18.0,21.0,23.0,Hitam,#121517,3.896988614413974
Abad yang Berlari,Afrizal Malna,3.75,56.0,12.0,"Sastra Indonesia, Indonesian Literature",omahsore,2009,2009_omahsore_Abad_yang_Berlari.jpg,30.0,17.0,241.0,241.0,241.0,225.0,Abu-abu/Putih,#f1f1e1,3.8597203312610304
Surat Kecil Untuk Tuhan,Agnes Davonar,3.91,1901.0,256.0,"Novel, Kisah Nyata, Sastra Indonesia, Drama, Roman, Remaja, Inspiratif, Indonesian Literature",Inandra Published,2008,2008_Inandra_Published_Surat_Kecil_Untuk_Tuhan.jpg,105.0,219.0,168.0,24.0,96.0,168.0,Biru,#1860a8,3.8810626851606234
Ungu,Agnes Jessica,3.96,132.0,9.0,"Roman, Sastra Indonesia, Novel, Indonesian Literature",Pustaka Hermon,2011,2011_Pustaka_Hermon_Ungu.jpg,7.0,18.0,247.0,247.0,234.0,230.0,Abu-abu/Putih,#f7eae6,3.905729244790197
Tunangan? Hmm...,Agnes Jessica,3.4,1655.0,68.0,"Roman, Novel, Remaja, Sastra Indonesia, Fiksi, Indonesian Literature",Gramedia Pustaka Utama,2008,2008_Gramedia_Pustaka_Uta_Tunangan_Hmm....jpg,18.0,73.0,247.0,247.0,218.0,176.0,Oranye/Cokelat,#f7dab0,3.87930557921747
Three Days Cinderella,Agnes Jessica,3.46,1056.0,55.0,"Roman, Novel, Sastra Indonesia, Fiksi, Remaja, Chick Lit, Keluarga, Indonesian Literature",Gramedia Pustaka Utama,2005,2005_Gramedia_Pustaka_Uta_Three_Days_Cinderella.jpg,106.0,114.0,49.0,27.0,37.0,49.0,Biru,#1b2531,3.879512297563724
Sepatu Kaca,Agnes Jessica,3.55,400.0,18.0,"Roman, Sastra Indonesia, Novel, Remaja, Fiksi, Chick Lit, Persahabatan, Indonesian Literature",Gramedia Pustaka Utama,2008,2008_Gramedia_Pustaka_Uta_Sepatu_Kaca.jpg,25.0,7.0,233.0,233.0,232.0,227.0,Abu-abu/Putih,#e9e8e3,3.688891468070904
Rumah Beratap Bugenvil,Agnes Jessica,3.74,1117.0,55.0,"Novel, Roman, Sastra Indonesia, Remaja, Fiksi, Indonesian Literature",PT Gramedia Pustaka Utama,2005,2005_PT_Gramedia_Pustaka__Rumah_Beratap_Bugenvil.jpg,27.0,233.0,248.0,248.0,229.0,21.0,Kuning,#f8e515,3.880476983179572
Pencari Harta Karun,Agnes Jessica,3.35,226.0,18.0,"Roman, Sastra Indonesia, Novel, Indonesian Literature",Gramedia Pustaka Utama,2008,2008_Gramedia_Pustaka_Uta_Pencari_Harta_Karun.jpg,113.0,219.0,98.0,14.0,35.0,98.0,Biru,#0e2362,3.6480707314272114
Noda Tak Kasatmata,Agnes Jessica,3.48,267.0,19.0,"Roman, Novel, Sastra Indonesia, Fiksi, Remaja, Indonesian Literature",Gramedia Pustaka Utama,2008,2008_Gramedia_Pustaka_Uta_Noda_Tak_Kasatmata.jpg,143.0,8.0,246.0,244.0,238.0,246.0,Abu-abu/Putih,#f4eef6,3.6885005741444874
Nila,Agnes Jessica,3.97,146.0,12.0,"Roman, Sastra Indonesia, Novel, Chick Lit, Indonesian Literature",Pustaka Hermon,2011,2011_Pustaka_Hermon_Nila.jpg,60.0,1.0,253.0,252.0,253.0,252.0,Abu-abu/Putih,#fcfdfc,3.9108292805694895
Maharani,Agnes Jessica,3.76,378.0,47.0,"Roman, Sastra Indonesia, Novel, Fiksi, Remaja, Keluarga, Dewasa, Indonesian Literature",Grasindo,2004,2004_Grasindo_Maharani.jpg,50.0,34.0,181.0,165.0,181.0,157.0,Abu-abu/Putih,#a5b59d,3.8124367843654863
Kuning,Agnes Jessica,3.68,250.0,17.0,"Roman, Kristiani, Novel, Sastra Indonesia, Fiksi, Chick Lit, Indonesian Literature",Pustaka Hermon,2010,2010_Pustaka_Hermon_Kuning.jpg,0.0,3.0,250.0,250.0,247.0,247.0,Abu-abu/Putih,#faf7f7,3.787794982601522
Jingga,Agnes Jessica,3.99,372.0,26.0,"Roman, Fiksi, Novel, Sastra Indonesia, Chick Lit, Kristiani, Indonesian Literature",Pustaka Heron,2009,2009_Pustaka_Heron_Jingga.jpg,122.0,163.0,127.0,51.0,46.0,127.0,Biru,#332e7f,3.942303885622489
Firdaus Mimpi,Agnes Jessica,3.71,197.0,21.0,"Roman, Sastra Indonesia, Indonesian Literature",Vania Books,2010,2010_Vania_Books_Firdaus_Mimpi.jpg,30.0,1.0,253.0,253.0,253.0,252.0,Abu-abu/Putih,#fdfdfc,3.811698600242408
Debu Bintang,Agnes Jessica,3.54,656.0,31.0,"Roman, Novel, Sastra Indonesia, Remaja, Keluarga, Chick Lit, Indonesian Literature",Gramedia Pustaka Utama,2006,2006_Gramedia_Pustaka_Uta_Debu_Bintang.jpg,30.0,70.0,251.0,251.0,250.0,182.0,Kuning,#fbfab6,3.644335831121789
Bukan Pengantin Terpilih,Agnes Jessica,3.78,703.0,56.0,"Roman, Novel, Sastra Indonesia, Fiksi, Chick Lit, Indonesian Literature",Vania Books,2008,2008_Vania_Books_Bukan_Pengantin_Terpilih.jpg,4.0,170.0,222.0,222.0,96.0,74.0,Merah,#de604a,3.809431538793521
Biru,Agnes Jessica,3.83,158.0,11.0,"Roman, Kristiani, Novel, Sastra Indonesia, Chick Lit, Indonesian Literature",Pustaka Hermon,2010,2010_Pustaka_Hermon_Biru.jpg,11.0,67.0,76.0,76.0,63.0,56.0,Merah,#4c3f38,3.8629590706939534
Biru,Agnes Jessica,3.83,1458.0,11.0,"Roman, Kristiani, Novel, Sastra Indonesia, Chick Lit, Indonesian Literature",Pustaka Hermon,2010,2010_Pustaka_Hermon_Biru.jpg,11.0,67.0,76.0,76.0,63.0,56.0,Merah,#4c3f38,3.8629590706939534
Bidadari Bersayap Biru,Agnes Jessica,3.68,615.0,35.0,"Roman, Novel, Sastra Indonesia, Fiksi, Remaja, Dewasa, Indonesian Literature",Gramedia Pustaka Utama,2007,2007_Gramedia_Pustaka_Uta_Bidadari_Bersayap_Biru.jpg,104.0,246.0,171.0,6.0,95.0,171.0,Biru,#065fab,3.7442835989691687
Antara Aku dan Dia,Agnes Jessica,3.43,324.0,19.0,"Roman, Sastra Indonesia, Novel, Drama, Fiksi, Keluarga, Chick Lit, Indonesian Literature",Gramedia Pustaka Utama,2008,2008_Gramedia_Pustaka_Uta_Antara_Aku_dan_Dia.jpg,25.0,23.0,250.0,250.0,246.0,227.0,Abu-abu/Putih,#faf6e3,3.642704352821641
Sepotong Bibir Paling Indah di Dunia,Agus Noor,3.84,391.0,56.0,"Cerita Pendek, Fiksi, Sastra Indonesia, Antologi, Sastra Asia, Indonesian Literature",Bentang,2010,2010_Bentang_Sepotong_Bibir_Paling_Indah_di.jpg,0.0,85.0,3.0,3.0,2.0,2.0,Hitam,#030202,3.857417779298597
20 Cerpen Indonesia Terbaik 2009: Anugerah Sastra Pena Kencana,Agus Noor,3.6,156.0,20.0,"Cerita Pendek, Sastra Indonesia, Indonesian Literature",Gramedia Pustaka Utama,2009,2009_Gramedia_Pustaka_Uta_20_Cerpen_Indonesia_Terbaik_20.jpg,16.0,23.0,238.0,238.0,228.0,217.0,Abu-abu/Putih,#eee4d9,3.782523176570176
20 Cerpen Indonesia Terbaik 2008: Anugerah Sastra Pena Kencana,Agus Noor,3.4,120.0,12.0,"Sastra Indonesia, Fiksi, Indonesian Literature",Gramedia Pustaka Utama,2008,2008_Gramedia_Pustaka_Uta_20_Cerpen_Indonesia_Terbaik_20.jpg,21.0,62.0,236.0,236.0,219.0,179.0,Oranye/Cokelat,#ecdbb3,3.7399351114670014
Suatu Cerita dari Negeri Angin,Agus R. Sarjono,3.88,25.0,5.0,"Sastra Indonesia, Puisi, Indonesian Literature",Komodo Books,2010,2010_Komodo_Books_Suatu_Cerita_dari_Negeri_Angin.jpg,94.0,178.0,162.0,49.0,147.0,162.0,Biru,#3193a2,3.880886060040957
Sepi Pun Menari di Tepi Hari: Kumpulan Cerpen Pilihan KOMPAS 2004,Agus R. Sarjono,3.72,123.0,14.0,"Sastra Indonesia, Cerita Pendek, Fiksi, Indonesian Literature",Penerbit Buku Kompas,2004,2004_Penerbit_Buku_Kompas_Sepi_Pun_Menari_di_Tepi_Hari_K.jpg,32.0,197.0,22.0,21.0,22.0,5.0,Hitam,#151605,3.832937402954205
Lumbung Perjumpaan,Agus R. Sarjono,3.88,16.0,2.0,"Sastra Indonesia, Indonesian Literature",Komodo Books,2011,2011_Komodo_Books_Lumbung_Perjumpaan.jpg,20.0,138.0,252.0,252.0,208.0,116.0,Oranye/Cokelat,#fcd074,3.880912184661329
Titik Nol: Makna Sebuah Perjalanan,Agustinus Wibowo,4.36,2421.0,351.0,"Perjalanan, Nonfiksi, Sastra Indonesia, Memoar, Petualangan, Catatan Perjalanan, Biografi, Indonesian Literature",Gramedia Pustaka Utama,2013,2013_Gramedia_Pustaka_Uta_Titik_Nol_Makna_Sebuah_Perjala.jpg,18.0,155.0,215.0,215.0,162.0,84.0,Oranye/Cokelat,#d7a254,3.8842521695034185
Selimut Debu,Agustinus Wibowo,0.0425,1971.0,274.0,Indonesian Literature,PT Gramedia Pustaka Utama,2010,2010_PT_Gramedia_Pustaka__Selimut_Debu.jpg,14.0,15.0,249.0,249.0,241.0,234.0,Abu-abu/Putih,#f9f1ea,3.867737965091716
Garis Batas: Perjalanan di Negeri-Negeri Asia Tengah,Agustinus Wibowo,4.29,1765.0,220.0,"Perjalanan, Nonfiksi, Sastra Indonesia, Petualangan, Catatan Perjalanan, Memoar, Spiritualitas, Indonesian Literature",Gramedia Pustaka Utama,2011,2011_Gramedia_Pustaka_Uta_Garis_Batas_Perjalanan_di_Nege.jpg,19.0,8.0,248.0,248.0,245.0,240.0,Abu-abu/Putih,#f8f5f0,3.88237190135356
Rusa Berbulu Merah: Kumpulan Puisi 2008-2013,Ahda Imran,3.81,43.0,8.0,"Sastra Indonesia, Indonesian Literature",Pustaka Jaya (Kiblat),2014,2014_Pustaka_Jaya_(Kiblat_Rusa_Berbulu_Merah_Kumpulan_Pu.jpg,15.0,200.0,253.0,253.0,157.0,55.0,Oranye/Cokelat,#fd9d37,3.871778613597805
Masyarakat Adat & Kedaulatan Pangan,Ahmad Arif,4.56,108.0,28.0,"Nonfiksi, Kuliner, Indonesian Literature",Kepustakaan Populer Gramedia,2021,2021_Kepustakaan_Populer__Masyarakat_Adat_&_Kedaulatan_P.jpg,30.0,9.0,250.0,250.0,250.0,241.0,Abu-abu/Putih,#fafaf1,4.065571917854929
Rantau 1 Muara,Ahmad Fuadi,4.27,4238.0,411.0,"Novel, Fiksi, Sastra Indonesia, Roman, Islam, Inspiratif, Remaja, Indonesian Literature",Gramedia Pustaka Utama,2013,2013_Gramedia_Pustaka_Uta_Rantau_1_Muara.jpg,28.0,254.0,254.0,254.0,240.0,1.0,Kuning,#fef001,3.886269205005527
Ranah 3 Warna,Ahmad Fuadi,4.19,8084.0,603.0,"Novel, Fiksi, Sastra Indonesia, Inspiratif, Islam, Kehidupan Sehari-hari, Remaja, Indonesian Literature",Gramedia Pustaka Utama,2011,2011_Gramedia_Pustaka_Uta_Ranah_3_Warna.jpg,31.0,43.0,216.0,215.0,216.0,180.0,Abu-abu/Putih,#d7d8b4,3.889279880127404
Negeri 5 Menara,Ahmad Fuadi,4.16,14334.0,1.0,"Novel, Fiksi, Sastra Indonesia, Islam, Inspiratif, Agama, Remaja, Indonesian Literature",Gramedia Pustaka Utama,2009,2009_Gramedia_Pustaka_Uta_Negeri_5_Menara.jpg,107.0,166.0,72.0,25.0,46.0,72.0,Biru,#192e48,3.893844828913011
Anak Rantau,Ahmad Fuadi,4.2,1383.0,216.0,"Fiksi, Novel, Sastra Indonesia, Kehidupan Sehari-hari, Remaja, Kumpulan Karya, Keluarga, Indonesian Literature",Falcon Publishing,2017,2017_Falcon_Publishing_Anak_Rantau.jpg,96.0,82.0,192.0,130.0,180.0,192.0,Biru,#82b4c0,3.88206182383418
Surat Cinta untuk Kekasih Sejatiku,Ahmad Rifa'i Rif'an,4.31,39.0,8.0,"Agama, Sastra Indonesia, Indonesian Literature",Elex Media Komputindo,2014,2014_Elex_Media_Komputind_Surat_Cinta_untuk_Kekasih_Seja.jpg,127.0,163.0,128.0,64.0,46.0,128.0,Ungu/Merah Muda,#402e80,3.931937378119941
